,word_guesses,first_pass,solution_words,solution
0,lago;costa;esca;api;aia,lago CC IA costa NT esca V AL api ET aia,La;goccia;costante;scava;la;pietà;ià,La goccia costante scava la pietà ià
1,sedia;capre;su,DA sedia RI capre su NTA,Dase;diarica;presunta,Dase diarica presunta
2,ari;buche;cereale,C ari buche E M I cereale,Caribù;che;emicereale,Caribù che emicereale
3,amo;radi;lari,UN amo ST radi lari T TE,Una;mostra;di;laritette,Una mostra di laritette
4,rada;teda,ST rada teda NDO,Strada;tedando,Strada tedando
5,tra;artemide;Ati,tra T T artemide L IC Ati,Trattar;temi;delicati,Trattar temi delicati
6,si;tema;dotto,si S tema R I dotto,Sistema;ridotto,Sistema ridotto
7,parti;tea;pinna;colo,parti tea pinna colo,Partite;a;pinacolo,Partite a pinacolo
8,atto;divi;aio;nato,PI atto divi TE L aio N nato,Piatto;di;vitelaio;nonnato,Piatto di vitelaio nonnato
9,Bi;linea;coni;ala,Bi linea coni N S ala TA,Bilinea;con;insalata,Bilinea con insalata
10,su;sardina,su A sardina NNI,Suasardi;nanni,Suasardi nanni
11,pantere;mine,C A pantere mine S I,Capant;ereminesi,Capant ereminesi
12,pala,RI pala,Ripa;lapalla,Ripa lapalla
13,scafi;ori;colo,DI scafi ori DI colo,Discafi;ordincolo,Discafi ordincolo
14,armi;anice,armi G anice RMI,Armigani;ce;rmi,Armigani ce rmi
15,lario;noci,I lario noci R,Ilario;Nocirir,Ilario Nocirir
16,cola;re;rame,S E cola re C A rame,Secolare;carame,Secolare carame
17,legge;aperto,legge R aperto SSE,Leggera;pertosse,Leggera pertosse
18,Pieve;ioni,IM Pieve S ioni,Impive;sioni,Impive sioni
19,nasi;ring;riva;il;lago,U nasi ring A P riva il lago,Una;siringa;priva;gli;ago,Una siringa priva gli 'ago
20,re;dama;sarda,F re D dama N sarda,Fredda;mansarda,Fredda mansarda
21,signore;somale,signore I O somale,Signoreioso;male,Signoreioso male
22,ceri;onda,D I ceri AF onda,Diceria;fonda,Diceria fonda
23,arrossita;fetta,MO arrossita F fetta,Mora;rossitta,Mora rossitta
24,re;camici;ettari;dita,re P LI camici ettari B A dita,Replica;micicetta;ribadita,Replica micicetta ribadita
25,treno;albero,O treno NC albero,Otre;non;calbe,Otre non calbe
