,word_guesses,first_pass,solution_words,solution
0,do;ari;re;ante,do C CI ari NF re SC ante,Doccia;rinfrescante,Doccia rinfrescante
1,verme;ori;ala;osa,A verme M ori ala C UN osa,Aver;memoria;lacunosa,Aver memoria lacunosa
2,mazzo;eco;raggio,A mazzo N eco raggio SA,Amazzone;coraggiosa,Amazzone coraggiosa
3,re;storico;sci;totale,P re TE storico NO sci U totale,Pretesto;rinconosciuto;tale,Pretesto rinconosciuto tale
4,orme;destre;ori;ore,N orme destre M ori G ore,Norme;d;estremo;rigore,Norme d'estremo rigore
5,pire;cent,TEM pire cent I,Tempi;recenti,Tempi recenti
6,fra;chef;tre;mare,CI fra chef A tre mare,Cifra;che;fa;tremare,Cifra che fa tremare
7,Eva;letti;ori,TR Eva L letti M ori,Tre;valletti;mori,Tre valletti mori
8,ara;con,R ara I con A,Rara;icona,Rara icona
9,tra;colli;tali,tra colli F A tali,Tracolli;fatali,Tracolli fatali
10,tanica;rose,LON tanica rose LLI,Lontani;caroselli,Lontani caroselli
11,rea;oliva;abili,P rea MB oliva RI abili,Preamboli;variabili,Preamboli variabili
12,tori;come;va;sta,S tori come DI E va LI sta,Storico;medievalista,Storico medievalista
13,la;maestra,la maestra TTA,Lama;estratta,Lama estratta
14,ari;posta;auto;aria,U N ari S posta auto RI T aria,Una;risposta;autoritaria,Una risposta autoritaria
15,aro;travi;Ate,P aro L E travi S Ate,Parole;travisate,Parole travisate
16,fischietti,O R A fischietti,Orafi;schietti,Orafi schietti
17,re;via;ring,B re via R ring HE,Brevi;arringhe,Brevi arringhe
18,est;cime;chini,G est A C cime S chini,Gestacci;meschini,Gestacci meschini
19,Ares;tra;dinari,F Ares tra O R dinari,Fare;straordinari,Fare straordinari
20,armo;Tosca;ore,F armo L Tosca LP ore,Far;molto;scalpore,Far molto scalpore
21,rade;Olivia;etti,G rade V Olivia G G etti,Gradevoli;viaggetti,Gradevoli viaggetti
