wandb: WARNING The `run_name` is currently set to the same value as `TrainingArguments.output_dir`. If this was not intended, please specify a different run name by setting the `TrainingArguments.run_name` parameter.
                                                  
{'loss': -0.0, 'grad_norm': 0.2884138822555542, 'learning_rate': 1.9920000000000002e-05, 'completion_length': 81.453125, 'rewards/reward_function': -270.671875, 'reward': -270.671875, 'reward_std': 84.1400146484375, 'kl': 0.0, 'epoch': 0.0}
{'loss': 0.0001, 'grad_norm': 0.3327316343784332, 'learning_rate': 1.9840000000000003e-05, 'completion_length': 85.375, 'rewards/reward_function': -285.375, 'reward': -285.375, 'reward_std': 94.79308700561523, 'kl': 0.0015503654722124338, 'epoch': 0.01}
{'loss': 0.0001, 'grad_norm': 0.29888924956321716, 'learning_rate': 1.976e-05, 'completion_length': 84.328125, 'rewards/reward_function': -275.46875, 'reward': -275.46875, 'reward_std': 81.07687377929688, 'kl': 0.0015705309924669564, 'epoch': 0.01}
{'loss': 0.0001, 'grad_norm': 0.274292916059494, 'learning_rate': 1.968e-05, 'completion_length': 86.9375, 'rewards/reward_function': -286.625, 'reward': -286.625, 'reward_std': 75.80151748657227, 'kl': 0.0017250729724764824, 'epoch': 0.02}
{'loss': 0.0001, 'grad_norm': 0.27782535552978516, 'learning_rate': 1.9600000000000002e-05, 'completion_length': 89.078125, 'rewards/reward_function': -290.328125, 'reward': -290.328125, 'reward_std': 67.73429107666016, 'kl': 0.0016478163306601346, 'epoch': 0.02}
{'loss': 0.0001, 'grad_norm': 0.46505215764045715, 'learning_rate': 1.9520000000000003e-05, 'completion_length': 85.015625, 'rewards/reward_function': -290.40625, 'reward': -290.40625, 'reward_std': 86.0693588256836, 'kl': 0.0017118807299993932, 'epoch': 0.02}
{'loss': 0.0001, 'grad_norm': 0.3190295398235321, 'learning_rate': 1.944e-05, 'completion_length': 82.828125, 'rewards/reward_function': -270.59375, 'reward': -270.59375, 'reward_std': 81.67385864257812, 'kl': 0.0015642748912796378, 'epoch': 0.03}
{'loss': 0.0001, 'grad_norm': 0.24500049650669098, 'learning_rate': 1.936e-05, 'completion_length': 85.15625, 'rewards/reward_function': -278.109375, 'reward': -278.109375, 'reward_std': 78.35639190673828, 'kl': 0.0015300848172046244, 'epoch': 0.03}
{'loss': 0.0001, 'grad_norm': 0.2887794077396393, 'learning_rate': 1.9280000000000002e-05, 'completion_length': 89.046875, 'rewards/reward_function': -288.21875, 'reward': -288.21875, 'reward_std': 74.32859802246094, 'kl': 0.001616085588466376, 'epoch': 0.04}
{'loss': 0.0001, 'grad_norm': 0.33081287145614624, 'learning_rate': 1.9200000000000003e-05, 'completion_length': 83.5, 'rewards/reward_function': -274.125, 'reward': -274.125, 'reward_std': 86.85917663574219, 'kl': 0.001646442455239594, 'epoch': 0.04}
{'loss': 0.0001, 'grad_norm': 0.2485005408525467, 'learning_rate': 1.912e-05, 'completion_length': 93.96875, 'rewards/reward_function': -299.9375, 'reward': -299.9375, 'reward_std': 41.8420352935791, 'kl': 0.0018067342462018132, 'epoch': 0.04}
{'loss': 0.0001, 'grad_norm': 0.26045462489128113, 'learning_rate': 1.904e-05, 'completion_length': 83.046875, 'rewards/reward_function': -283.21875, 'reward': -283.21875, 'reward_std': 77.16290283203125, 'kl': 0.0015027730260044336, 'epoch': 0.05}
