wandb: WARNING The `run_name` is currently set to the same value as `TrainingArguments.output_dir`. If this was not intended, please specify a different run name by setting the `TrainingArguments.run_name` parameter.
                                                  
{'loss': -0.0, 'grad_norm': 0.2859947681427002, 'learning_rate': 1.9920000000000002e-05, 'completion_length': 81.453125, 'rewards/reward_function': -270.671875, 'reward': -270.671875, 'reward_std': 84.1400146484375, 'kl': 0.0, 'epoch': 0.0}
{'loss': 0.0001, 'grad_norm': 0.31443536281585693, 'learning_rate': 1.9840000000000003e-05, 'completion_length': 87.34375, 'rewards/reward_function': -289.046875, 'reward': -289.046875, 'reward_std': 69.18893241882324, 'kl': 0.0015945405466482043, 'epoch': 0.01}
{'loss': 0.0001, 'grad_norm': 0.3526751399040222, 'learning_rate': 1.976e-05, 'completion_length': 86.09375, 'rewards/reward_function': -281.671875, 'reward': -281.671875, 'reward_std': 80.4121208190918, 'kl': 0.001667512464337051, 'epoch': 0.01}
{'loss': 0.0001, 'grad_norm': 0.2498989701271057, 'learning_rate': 1.968e-05, 'completion_length': 87.796875, 'rewards/reward_function': -287.28125, 'reward': -287.28125, 'reward_std': 67.61617279052734, 'kl': 0.0017386219697073102, 'epoch': 0.02}
{'loss': 0.0001, 'grad_norm': 0.27697551250457764, 'learning_rate': 1.9600000000000002e-05, 'completion_length': 88.328125, 'rewards/reward_function': -289.5, 'reward': -289.5, 'reward_std': 73.01565933227539, 'kl': 0.0017389309359714389, 'epoch': 0.02}
{'loss': 0.0001, 'grad_norm': 0.4322148859500885, 'learning_rate': 1.9520000000000003e-05, 'completion_length': 84.28125, 'rewards/reward_function': -289.65625, 'reward': -289.65625, 'reward_std': 76.37709045410156, 'kl': 0.0015653512091375887, 'epoch': 0.02}
{'loss': 0.0001, 'grad_norm': 0.25243452191352844, 'learning_rate': 1.944e-05, 'completion_length': 83.890625, 'rewards/reward_function': -270.171875, 'reward': -270.171875, 'reward_std': 73.44755172729492, 'kl': 0.0014664885238744318, 'epoch': 0.03}
{'loss': 0.0001, 'grad_norm': 0.3072684109210968, 'learning_rate': 1.936e-05, 'completion_length': 81.53125, 'rewards/reward_function': -263.5625, 'reward': -263.5625, 'reward_std': 94.0645751953125, 'kl': 0.0016853223787620664, 'epoch': 0.03}
{'loss': 0.0001, 'grad_norm': 0.37219056487083435, 'learning_rate': 1.9280000000000002e-05, 'completion_length': 86.375, 'rewards/reward_function': -275.703125, 'reward': -275.703125, 'reward_std': 81.55384063720703, 'kl': 0.001707896706648171, 'epoch': 0.04}
{'loss': 0.0001, 'grad_norm': 0.31852859258651733, 'learning_rate': 1.9200000000000003e-05, 'completion_length': 82.734375, 'rewards/reward_function': -264.34375, 'reward': -264.34375, 'reward_std': 86.47313690185547, 'kl': 0.0016678752726875246, 'epoch': 0.04}
{'loss': 0.0001, 'grad_norm': 0.2835860550403595, 'learning_rate': 1.912e-05, 'completion_length': 89.4375, 'rewards/reward_function': -286.8125, 'reward': -286.8125, 'reward_std': 66.87857437133789, 'kl': 0.0017515501822344959, 'epoch': 0.04}
{'loss': 0.0001, 'grad_norm': 0.33204808831214905, 'learning_rate': 1.904e-05, 'completion_length': 84.890625, 'rewards/reward_function': -289.109375, 'reward': -289.109375, 'reward_std': 77.53937339782715, 'kl': 0.001457195554394275, 'epoch': 0.05}
{'loss': 0.0001, 'grad_norm': 0.38741767406463623, 'learning_rate': 1.896e-05, 'completion_length': 82.265625, 'rewards/reward_function': -272.046875, 'reward': -272.046875, 'reward_std': 87.01335525512695, 'kl': 0.0017672416870482266, 'epoch': 0.05}
