wandb: WARNING The `run_name` is currently set to the same value as `TrainingArguments.output_dir`. If this was not intended, please specify a different run name by setting the `TrainingArguments.run_name` parameter.
100%|██████████| 25/25 [08:23<00:00, 20.12s/it]
{'loss': 0.0, 'grad_norm': 0.2834038734436035, 'learning_rate': 1.9200000000000003e-05, 'completion_length': 85.703125, 'rewards/reward_function': -277.390625, 'reward': -277.390625, 'reward_std': 80.39103317260742, 'kl': 0.0, 'epoch': 0.04}
{'loss': 0.0001, 'grad_norm': 0.2951430678367615, 'learning_rate': 1.8400000000000003e-05, 'completion_length': 87.84375, 'rewards/reward_function': -280.0, 'reward': -280.0, 'reward_std': 75.84711837768555, 'kl': 0.0016205176943913102, 'epoch': 0.08}
{'loss': 0.0001, 'grad_norm': 0.29323136806488037, 'learning_rate': 1.76e-05, 'completion_length': 85.921875, 'rewards/reward_function': -290.4375, 'reward': -290.4375, 'reward_std': 79.44628524780273, 'kl': 0.0016620791866444051, 'epoch': 0.12}
{'loss': 0.0001, 'grad_norm': 0.3335374891757965, 'learning_rate': 1.6800000000000002e-05, 'completion_length': 83.78125, 'rewards/reward_function': -278.1875, 'reward': -278.1875, 'reward_std': 91.0540885925293, 'kl': 0.0016545605030842125, 'epoch': 0.16}
{'loss': 0.0001, 'grad_norm': 0.3774647116661072, 'learning_rate': 1.6000000000000003e-05, 'completion_length': 87.640625, 'rewards/reward_function': -290.515625, 'reward': -290.515625, 'reward_std': 72.83374786376953, 'kl': 0.0017729186220094562, 'epoch': 0.2}
{'loss': 0.0001, 'grad_norm': 0.23705200850963593, 'learning_rate': 1.5200000000000002e-05, 'completion_length': 91.484375, 'rewards/reward_function': -301.234375, 'reward': -301.234375, 'reward_std': 62.25919723510742, 'kl': 0.0017815170576795936, 'epoch': 0.24}
{'loss': 0.0001, 'grad_norm': 0.2549680471420288, 'learning_rate': 1.4400000000000001e-05, 'completion_length': 88.03125, 'rewards/reward_function': -293.015625, 'reward': -293.015625, 'reward_std': 61.66462326049805, 'kl': 0.0016137914499267936, 'epoch': 0.28}
{'loss': 0.0001, 'grad_norm': 0.26492008566856384, 'learning_rate': 1.3600000000000002e-05, 'completion_length': 88.640625, 'rewards/reward_function': -280.0, 'reward': -280.0, 'reward_std': 76.12177467346191, 'kl': 0.0015987687511369586, 'epoch': 0.32}
{'loss': 0.0001, 'grad_norm': 0.3033169209957123, 'learning_rate': 1.2800000000000001e-05, 'completion_length': 80.6875, 'rewards/reward_function': -258.546875, 'reward': -258.546875, 'reward_std': 89.10210418701172, 'kl': 0.0017214390682056546, 'epoch': 0.36}
{'loss': 0.0001, 'grad_norm': 0.37987250089645386, 'learning_rate': 1.2e-05, 'completion_length': 80.328125, 'rewards/reward_function': -255.375, 'reward': -255.375, 'reward_std': 90.97958374023438, 'kl': 0.0018020261195488274, 'epoch': 0.4}
{'loss': 0.0001, 'grad_norm': 0.21590353548526764, 'learning_rate': 1.1200000000000001e-05, 'completion_length': 87.9375, 'rewards/reward_function': -284.78125, 'reward': -284.78125, 'reward_std': 63.67573356628418, 'kl': 0.001517369004432112, 'epoch': 0.44}
