wandb: WARNING The `run_name` is currently set to the same value as `TrainingArguments.output_dir`. If this was not intended, please specify a different run name by setting the `TrainingArguments.run_name` parameter.
                                                  
{'loss': -0.0, 'grad_norm': 0.29732996225357056, 'learning_rate': 1.9920000000000002e-05, 'completion_length': 81.453125, 'rewards/reward_function': -270.671875, 'reward': -270.671875, 'reward_std': 84.1400146484375, 'kl': 0.0, 'epoch': 0.0}
{'loss': 0.0001, 'grad_norm': 0.3343714773654938, 'learning_rate': 1.9840000000000003e-05, 'completion_length': 86.75, 'rewards/reward_function': -290.875, 'reward': -290.875, 'reward_std': 86.19214248657227, 'kl': 0.0015120499301701784, 'epoch': 0.01}
{'loss': 0.0001, 'grad_norm': 0.25594934821128845, 'learning_rate': 1.976e-05, 'completion_length': 84.875, 'rewards/reward_function': -282.359375, 'reward': -282.359375, 'reward_std': 85.59525680541992, 'kl': 0.0015267539420165122, 'epoch': 0.01}
{'loss': 0.0001, 'grad_norm': 0.2941851019859314, 'learning_rate': 1.968e-05, 'completion_length': 90.6875, 'rewards/reward_function': -300.3125, 'reward': -300.3125, 'reward_std': 62.833242416381836, 'kl': 0.0016939843771979213, 'epoch': 0.02}
{'loss': 0.0001, 'grad_norm': 0.22819659113883972, 'learning_rate': 1.9600000000000002e-05, 'completion_length': 89.734375, 'rewards/reward_function': -295.359375, 'reward': -295.359375, 'reward_std': 61.23302459716797, 'kl': 0.0015330719761550426, 'epoch': 0.02}
{'loss': 0.0001, 'grad_norm': 0.45905566215515137, 'learning_rate': 1.9520000000000003e-05, 'completion_length': 82.875, 'rewards/reward_function': -284.921875, 'reward': -284.921875, 'reward_std': 81.74809265136719, 'kl': 0.001698410720564425, 'epoch': 0.02}
{'loss': 0.0001, 'grad_norm': 0.31873950362205505, 'learning_rate': 1.944e-05, 'completion_length': 80.609375, 'rewards/reward_function': -266.84375, 'reward': -266.84375, 'reward_std': 78.87952041625977, 'kl': 0.0015941128367558122, 'epoch': 0.03}
{'loss': 0.0001, 'grad_norm': 0.25958654284477234, 'learning_rate': 1.936e-05, 'completion_length': 87.296875, 'rewards/reward_function': -293.3125, 'reward': -293.3125, 'reward_std': 77.7394027709961, 'kl': 0.0016319117275997996, 'epoch': 0.03}
{'loss': 0.0001, 'grad_norm': 0.40849247574806213, 'learning_rate': 1.9280000000000002e-05, 'completion_length': 88.046875, 'rewards/reward_function': -286.078125, 'reward': -286.078125, 'reward_std': 81.93930053710938, 'kl': 0.001687338633928448, 'epoch': 0.04}
{'loss': 0.0001, 'grad_norm': 0.3372606337070465, 'learning_rate': 1.9200000000000003e-05, 'completion_length': 83.359375, 'rewards/reward_function': -270.140625, 'reward': -270.140625, 'reward_std': 85.47429275512695, 'kl': 0.0018799067474901676, 'epoch': 0.04}
{'loss': 0.0001, 'grad_norm': 0.27036309242248535, 'learning_rate': 1.912e-05, 'completion_length': 91.96875, 'rewards/reward_function': -297.125, 'reward': -297.125, 'reward_std': 52.53493690490723, 'kl': 0.0017554069054313004, 'epoch': 0.04}
